Year,Country,Exports (% of GDP),GDP (current US$),Government debt (% of GDP),Inflation (CPI),Unemployment rate
2005,United States,9.98205641037558,13039197000000.0,56.5383512496973,3.3927468454955,5.08300018310547
2006,Brazil,14.3743163003006,1107626541710.74,,4.18356812896909,8.63899993896484
2006,Canada,35.4024592168513,1319264809590.97,43.2916781929928,2.00202539534161,6.32000017166138
2006,Ireland,79.0346762561037,232180617162.279,27.0394732170716,3.93576114001354,4.41499996185303
2006,United Kingdom,27.5121294423106,2708441582336.71,92.1648082454393,2.4556616643929,5.34999990463257
2006,United States,10.641389509223,13815583000000.0,55.4668811298083,3.22594410070404,4.6230001449585
2007,Brazil,13.327675103099,1397114486471.38,,3.64127299102652,8.32699966430664
2007,Canada,34.229555163977,1468820407783.26,39.1585639491399,2.13838399266837,6.03599977493286
2007,Ireland,80.8367951764565,270079279419.5,26.9931796005505,4.88574537540802,4.98000001907349
2007,United Kingdom,25.5115603212923,3090510204081.63,93.8024921065597,2.38656150773327,5.26200008392334
2007,United States,11.4637892950146,14474228000000.0,55.6594728230065,2.85267248150138,4.62200021743774
2008,Brazil,13.5340005124035,1695855083552.05,,5.67859390284168,7.34299993515015
2008,Canada,34.3950055520687,1552989690721.65,45.3205112731135,2.37027067444299,6.13700008392334
2008,Ireland,84.333282431752,275447471451.063,46.6255436565745,4.03568834941391,6.77400016784668
2008,United Kingdom,27.5059613453815,2929411764705.88,105.406814759036,3.52140856342539,5.61499977111816
2008,United States,12.4258439246081,14769862000000.0,63.814672066672,3.839100296651,5.78399991989136
2009,Brazil,10.851371134098,1666996438681.46,,4.88803479876799,8.52200031280518
2009,Canada,28.5158343165743,1374625142157.29,53.1924466726998,0.299466803009299,8.3439998626709
2009,Ireland,93.5561683403973,236443117248.477,66.6222065476113,-4.44754686876746,12.6090002059937
2009,United Kingdom,26.881551031055,2412840006231.5,123.728597974434,1.96173173560109,7.53700017929077
2009,United States,10.9322190593537,14478067000000.0,75.8415954284505,-0.355546266299747,9.25399971008301
2010,Brazil,10.8655847746965,2208837745214.23,61.3187804611479,5.03872690108075,7.73600006103516
2010,Canada,29.1673819330319,1617343367486.26,53.1497329605545,1.77687154092627,8.05599975585938
2010,Ireland,103.209420364506,221985621537.5,82.4653136911507,-0.918388645376774,14.5329999923706
2010,United Kingdom,28.8567426749383,2485482596184.71,131.087940527915,2.49265472467065,7.78700017929077
2010,United States,12.3413554322086,15048971000000.0,84.9639420529151,1.6400434423899,9.63300037384033
2011,Brazil,11.5825126782808,2616156223977.47,59.3416583014604,6.6364496221309,6.91699981689453
2011,Canada,30.6783919173107,1793326630174.52,54.1193858391726,2.91213508872351,7.51100015640259
2011,Ireland,102.257501072052,241337364609.738,110.569372265448,2.5489783020855,15.3529996871948
2011,United Kingdom,31.3875940550587,2663805834828.07,143.759014549588,3.8561124468282,8.03699970245361
2011,United States,13.5634637825829,15599732000000.0,89.5463716940778,3.156841568622,8.94900035858154
2012,Brazil,11.8775390694448,2465227803011.57,59.8494899958247,5.40349914036997,7.18599987030029
2012,Canada,30.3530255225878,1828366481521.6,55.7251649377054,1.51567823124517,7.29199981689453
2012,Ireland,103.662234336169,227270922957.327,128.785045575103,1.69474116680366,15.451000213623
2012,United Kingdom,30.6185684317404,2707089726614.64,147.053681621506,2.5732347965453,7.88500022888184
2012,United States,13.6440512687054,16253970000000.0,93.6488624010011,2.06933726526067,8.06900024414063
2013,Brazil,11.742230645138,2472819535742.73,57.228409380258,6.20431066640101,6.97599983215332
2013,Canada,30.3319386683867,1846597421834.98,53.200869076551,0.938291897815317,7.07399988174438
2013,Ireland,104.768806860884,243301556084.989,129.108632155252,0.515099484900573,13.7349996566772
2013,United Kingdom,30.2894247712844,2784853502534.29,141.643327770171,2.29166666666659,7.52500009536743
2013,United States,13.5534918818154,16880683000000.0,95.322114632447,1.46483265562717,7.375
2014,Brazil,11.0119428190539,2456043727198.85,58.4572711058609,6.32904015516139,6.66099977493286
2014,Canada,31.7365758733408,1805749878439.94,51.4827081297932,1.90663590717861,6.91400003433228
2014,Ireland,110.323371612236,266787238499.03,117.757439976442,0.190916398713745,11.8570003509521
2014,United Kingdom,28.5762147291242,3064708247921.43,150.591619713999,1.45112016293279,6.1100001335144
2014,United States,13.5082142132235,17608138000000.0,95.4538236808457,1.62222297740817,6.16800022125244
2015,Brazil,12.9001914177405,1802212206904.68,67.5375540277116,9.02990102416136,8.42700004577637
2015,Canada,31.8499609634443,1556508816217.14,55.9915837788793,1.12524136094277,6.9060001373291
2015,Ireland,122.924661429277,302391428540.035,85.4579233139236,-0.330959783371788,9.9060001373291
2015,United Kingdom,27.845950666101,2927911140916.73,147.949412742616,0.36804684232536,5.30100011825562
2015,United States,12.4111486301271,18295019000000.0,95.9558008657985,0.118627135552451,5.28000020980835
2016,Brazil,12.4666790443888,1795693482652.52,73.4188038096758,8.73914352329393,11.6000003814697
2016,Canada,31.5025724093362,1527994741907.43,56.0236243991088,1.42875954701085,6.99900007247925
2016,Ireland,124.197180256152,305733136180.907,83.488524641017,0.0201247735963237,8.37399959564209
2016,United Kingdom,28.9023395233588,2689106566899.61,156.604465153177,1.0084173681141,4.81300020217896
2016,United States,11.8881592273253,18804913000000.0,97.9285891936857,1.26158320570536,4.86899995803833
2017,Brazil,12.5189678700669,2063514977334.32,83.6692026509366,3.44637335032669,12.8219995498657
2017,Canada,31.4544101509781,1649265644244.09,54.4625651849142,1.59688412852977,6.34000015258789
2017,Ireland,124.814999164,348532394023.595,73.9850227274131,0.362173038229378,6.71199989318848
2017,United Kingdom,30.8903510330461,2680148052335.3,161.26972526053,2.55775577557747,4.33500003814697
2017,United States,12.177481026766,19612102000000.0,97.0213034788418,2.13011000365961,4.35500001907349
2018,Brazil,14.6349994952986,1916933898038.36,86.6078841199146,3.66485028376729,12.3339996337891
2018,Canada,32.3254037264858,1725329192783.02,53.1515356456582,2.26822567248103,5.83099985122681
2018,Ireland,122.965602851189,395461216460.418,73.3536674722741,0.471130713712916,5.73999977111816
2018,United Kingdom,31.5801113597336,2871340347581.79,158.16278741293,2.29283990345938,3.99600005149841
2018,United States,12.2871107596266,20656516000000.0,98.4494626296129,2.44258329692817,3.89599990844727
2019,Brazil,14.1229191903622,1873288205186.45,92.5652531882782,3.73297621216894,12.0830001831055
2019,Canada,32.3526958202565,1743725183672.52,53.3623246913959,1.94926902411593,5.56400012969971
2019,Ireland,127.271542898368,407124824064.995,68.2101531884769,0.937842961189274,4.92799997329712
2019,United Kingdom,31.63478028095,2851407164907.81,160.321918277325,1.73810460086513,3.8510000705719
2019,United States,11.7891974097286,21539982000000.0,100.032349144953,1.81221007526021,3.68199992179871
2020,Brazil,16.4535520107044,1476107231194.11,98.7098819546545,3.21176803803376,
2020,Canada,29.4736472349344,1655684730000.19,74.5540471041546,0.716999632307827,
2020,Ireland,135.462876703021,436555518400.451,70.0047790053242,-0.326183651280033,
2020,United Kingdom,29.6697957580892,2696778386607.65,196.640576642773,0.989486703772491,
2020,United States,10.0736556273372,21354105000000.0,124.550890800621,1.23358439630629,
2021,Brazil,19.1094303673866,1670647399034.67,85.0115036701985,8.30165975585673,
2021,Canada,31.2163529553383,2007472181464.15,71.0739602315819,3.39519318527528,
2021,Ireland,133.055063604002,531306516907.984,62.1665685484345,2.34034113447044,
2021,United Kingdom,29.1802747877833,3143323050707.26,186.794915550888,2.51837109614213,
2021,United States,10.7909781995156,23681171000000.0,118.450755665757,4.69785886363742,
2022,Brazil,19.6307650034371,1951923942083.32,79.1023218878495,9.28010608956873,
2022,Canada,33.8450475582139,2161483369422.01,61.4178635753383,6.80280115341613,
2022,Ireland,136.684440145681,548570250341.987,45.400258888176,7.82945736434105,
2022,United Kingdom,33.5671944737788,3114042471144.39,141.244397228023,7.92204883147902,
2022,United States,11.6022279170372,26006893000000.0,112.889632760053,8.00279982052121,
2023,Brazil,18.1102794216442,2173665655937.27,83.6989369386242,4.59356282283204,
2023,Canada,33.3693043905205,2142470914401.36,62.2285228239297,3.87900159788426,
2023,Ireland,135.058214305059,551394889339.778,,6.29942487419125,
2023,United Kingdom,31.6626771258689,3380854520809.54,138.193489848821,6.79396706793963,
2023,United States,11.0115112856601,27720709000000.0,114.877162773867,4.11633838374488,
